"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","Population2020","CrimeReported","CrimeRate","CrimeViolent","CrimeViolentRate","CrimeNonViolent","CrimeNonViolentRate"
"1","Alabama",100.6762,5098746,5074296,5031362,5006199.4,4779736,0.00482,24450,0.06674,4921532,26596,4727.065,22322,453.558,210322,4273.507
"2","Alaska",1.28449,732984,733583,732923,730653.8,710231,-0.00082,-599,0.03204,731158,10647,5358.896,6126,837.849,33056,4521.047
"4","Arizona",65.61541,7453517,7359197,7179943,7101150.4,6392017,0.01282,94320,0.16607,7421401,40435,4940.118,35980,484.814,330646,4455.304
"5","Arkansas",58.86715,3063152,3045637,3014195,3004367.3,2915918,0.00575,17515,0.05049,3030522,25590,5898.753,20363,671.93,158400,5226.822
"6","California",249.81347,38915693,39029342,39501653,39276883.3,37253956,-0.00291,-113649,0.04461,39368078,178304,4719.9,174026,442.049,1684108,4277.852
"8","Colorado",56.62333,5868555,5839926,5784865,5709298.1,5029196,0.0049,28629,0.1669,5807719,30238,6090.756,24570,423.058,329164,5667.698
"9","Connecticut",749.49504,3629055,3626205,3597362,3595035.5,3574097,0.00079,2850,0.01538,3557006,9589,3311.746,6459,181.585,111340,3130.161
"10","Delaware",529.49461,1031985,1018396,992114,982696,897934,0.01334,13589,0.14929,986809,8185,4354.642,4262,431.897,38710,3922.745
"11","District of Columbia",11062.54098,674815,671803,670868,663953.5,601723,0.00448,3012,0.12147,712816,14113,7985.932,7127,999.837,49798,6986.095
"12","Florida",422.59351,22661577,22244823,21589602,21310772.8,18801310,0.01873,416754,0.20532,21733312,86907,3922.458,83368,383.595,769112,3538.862
"13","Georgia",191.91701,11037723,10912876,10729828,10625610.5,9687653,0.01144,124847,0.13936,10710017,46865,4414.802,42850,400.093,429976,4014.709
"15","Hawaii",223.14152,1433238,1440196,1451043,1441968.8,1360301,-0.00483,-6958,0.05362,1407006,8399,5076.88,3576,254.157,67856,4822.723
"16","Idaho",23.88287,1973752,1939033,1849202,1821040,1567582,0.01791,34719,0.25911,1826913,6656,2466.346,4432,242.595,40626,2223.751
"17","Illinois",224.74459,12477595,12582032,12786580,12790985.2,12830632,-0.0083,-104437,-0.02752,12587530,56731,3544.667,53612,425.914,392574,3118.753
"18","Indiana",191.27287,6852542,6833037,6788799,6758299.3,6483802,0.00285,19505,0.05687,6754953,27727,3924.039,24161,357.678,240906,3566.361
"19","Iowa",57.34903,3203345,3200517,3190571,3176149.4,3046355,0.00088,2828,0.05153,3163561,12997,3699.976,9601,303.487,107450,3396.489
"20","Kansas",35.91504,2936378,2937150,2937919,2929438.9,2853118,-0.00026,-772,0.02918,2913805,16783,4823.212,12385,425.046,128154,4398.167
"21","Kentucky",114.42109,4518031,4512310,4507445,4490637.2,4339367,0.00127,5721,0.04117,4477251,15159,3818.102,11600,259.088,159346,3559.014
"22","Louisiana",105.39265,4553384,4590241,4651664,4639834.8,4533372,-0.00803,-36857,0.00441,4645318,35473,6408.216,29704,639.44,267978,5768.776
"23","Maine",45.17855,1393442,1385340,1363557,1360037.4,1328361,0.00585,8102,0.04899,1350141,3778,2420.932,1466,108.581,31220,2312.351
"24","Maryland",634.04862,6154710,6164660,6173205,6133239.7,5773552,-0.00161,-9950,0.06602,6055802,27435,3619.488,24215,399.864,194974,3219.623
"25","Massachusetts",894.13564,6974258,6981974,6995729,6950919,6547629,-0.00111,-7716,0.06516,6893574,23394,2415.177,21288,308.809,145204,2106.367
"26","Michigan",177.41244,10030722,10034113,10069577,10050983.3,9883640,-0.00034,-3391,0.01488,9966555,50363,3199.772,47641,478.009,271266,2721.763
"27","Minnesota",71.87131,5722897,5717184,5709852,5669259.3,5303925,0.001,5713,0.07899,5657342,19948,4527.25,15698,277.48,240424,4249.77
"28","Mississippi",62.45398,2930528,2940057,2958141,2959056.6,2967297,-0.00324,-9529,-0.01239,2966786,12841,4494.426,8638,291.157,124702,4203.269
"29","Missouri",89.98998,6186091,6177957,6153998,6137490.9,5988927,0.00132,8134,0.03292,6151548,38447,5604.784,33385,542.709,311396,5062.075
"30","Montana",7.82919,1139507,1122867,1087075,1077309,989415,0.01482,16640,0.1517,1080577,9319,4711.464,5077,469.842,45834,4241.623
"31","Nebraska",25.67286,1972292,1967923,1962642,1949011.9,1826341,0.00222,4369,0.07991,1937552,10291,4152.405,6473,334.081,73982,3818.323
"32","Nevada",29.23222,3209142,3177772,3115648,3074138.3,2700551,0.00987,31370,0.18833,3138259,18298,4313.506,14445,460.287,120924,3853.219
"33","New Hampshire",156.70245,1402957,1395231,1378587,1372375.3,1316470,0.00554,7726,0.0657,1366275,4198,2344.184,2000,146.383,30028,2197.801
"34","New Jersey",1258.5582,9255437,9261699,9271689,9223709.5,8791894,-0.00068,-6262,0.05272,8882371,19669,2511.751,17353,195.365,205750,2316.386
"35","New Mexico",17.39527,2110011,2113344,2118390,2112468.9,2059179,-0.00158,-3333,0.02469,2106319,22077,6462.032,16393,778.277,119718,5683.754
"36","New York",413.71663,19496810,19677151,20108296,20035276.6,19378102,-0.00916,-180341,0.00613,19336776,73160,3185.2,70339,363.758,545576,2821.442
"37","North Carolina",222.7994,10832061,10698973,10449445,10358048.8,9535483,0.01244,133088,0.13597,10600823,48904,4872.292,44451,419.317,472052,4452.975
"38","North Dakota",11.31271,780588,779261,779518,768825.3,672591,0.0017,1327,0.16057,765309,6766,4577.236,2518,329.017,32512,4248.219
"39","Ohio",287.50579,11747774,11756058,11797517,11771415.7,11536504,-0.0007,-8284,0.01831,11693217,39805,4009.418,36104,308.76,432726,3700.658
"40","Oklahoma",59.01851,4048375,4019800,3964912,3943555.9,3751351,0.00711,28575,0.07918,3980783,23666,5869.825,18255,458.578,215410,5411.247
"41","Oregon",44.00522,4223973,4240137,4244795,4203422.9,3831074,-0.00381,-16164,0.10256,4241507,17698,5609.893,12380,291.877,225564,5318.016
"42","Pennsylvania",289.02749,12931957,12972008,12994440,12965233.9,12702379,-0.00309,-40051,0.01807,12783254,53081,3677.679,49793,389.517,420334,3288.161
"44","Rhode Island",1054.62573,1090483,1093734,1096345,1091967.2,1052567,-0.00297,-3251,0.03602,1057125,4931,2721.722,2440,230.815,26332,2490.907
"45","South Carolina",178.70337,5372002,5282634,5131848,5081199.6,4625364,0.01692,89368,0.16142,5218040,33133,5972.837,27691,530.678,283974,5442.158
"46","South Dakota",12.1814,923484,909824,887799,880437.1,814180,0.01501,13660,0.13425,892717,8389,4414.837,4476,501.391,34936,3913.446
"47","Tennessee",173.0163,7134327,7051339,6925619,6867667.6,6346105,0.01177,82988,0.12421,6886834,51314,5658.304,46328,672.704,343350,4985.6
"48","Texas",116.75553,30500280,30029572,29232474,28823782.7,25145561,0.01567,470708,0.21295,29360759,135574,4936.535,131084,446.46,1318320,4490.075
"49","Utah",41.6513,3422487,3380800,3283785,3231795,2763885,0.01233,41687,0.23829,3249879,13400,5189.516,8471,260.656,160182,4928.86
"50","Vermont",70.2133,647156,647064,642893,641177.8,625741,0.00014,92,0.03422,623347,3515,2607.376,1081,173.419,15172,2433.957
"51","Virginia",220.55895,8709873,8683619,8636471,8572926.3,8001024,0.00302,26254,0.08859,8590563,20838,3121.483,17925,208.659,250228,2912.824
"53","Washington",117.83476,7830827,7785786,7724031,7624081.9,6724540,0.00579,45041,0.16451,7693612,28061,5758.57,22596,293.698,420446,5464.871
"54","West Virginia",73.41651,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,1784787,9151,3154.662,6352,355.897,49952,2798.765
"55","Wisconsin",109.03241,5904977,5892539,5896271,5875342.5,5686986,0.00211,12438,0.03833,5832655,21832,3294.709,18861,323.369,173308,2971.34
"56","Wyoming",6.00743,583279,581381,577605,576207.1,563626,0.00326,1898,0.03487,582328,4585,3455.441,1364,234.232,18758,3221.209
